Response ID,Birth Year,Gender,Job Tenure,Industry,Occupation,Organization Size,Household Type,Metro or Regional,Remote Q4 2020,Preferred Remote Q4 2020,Remote This Year,Preferred Remote This Year,Post-COVID Remote,Remote Policy Change,Part-Remote Past 6 Months,Part-Remote Frequency,Part-Remote Preference,Mandatory Workplace Presence,Mandatory Workplace Time,Remote Policy Suitability,Remote Work Choice,Remote Workday Choice,Manager Discretion,Remote Policy Satisfaction,Encouragement of Remote Work,Organization Readiness,Common Remote Work,Ease of Remote Permission,Remote Collaboration,Remote Promotion Concerns,Remote Break Frequency,Employer's Remote Impact,Remote Work Support,Remote Work Encouragement,Remote Work Support Changes,Workplace Time Allocation,Workplace Preparation Time,Workplace Working Time,Workplace Care Responsibilities,Workplace Personal Time,Workplace Sleep Time,Remote Prep and Commute,Remote Working Time,Remote Care Responsibilities,Remote Personal Time,Remote Sleep Time,Pay Cut for Remote Option,Maximum Pay Cut Accepted,Remote Working Barriers (Caring),Change in Connectivity Barrier,Change in Org. Software & Systems Barrier,Change in Collaboration Barrier,Change in Poor Management Barrier,Change in IT Equipment Barrier,Change in Isolation Barrier,Change in Extra Costs Barrier,Change in Cyber Security Barrier,Change in Incompatible Tasks Barrier,Change in Workspace Barrier,Change in Motivation Barrier,Change in Management's Attitude Barrier,Change in Living Situation Barrier,Change in Remote Work Skills Barrier,Change in Health & Safety Barrier,Colleague Remote Work Barriers (Biggest),Colleague Remote Work Barriers (Smallest),Colleague Remote Work Barriers (Biggest 2),Colleague Remote Work Barriers (Smallest 2),Colleague Remote Work Barriers (Biggest 3),Colleague Remote Work Barriers (Smallest 3),Colleague Remote Work Barriers (Biggest 4),Colleague Remote Work Barriers (Smallest 4),Colleague Remote Work Barriers (Biggest 5),Colleague Remote Work Barriers (Smallest 5),Performance of Tasks in Remote Work (Manager Communication),Performance of Tasks in Remote Work (Colleague Communication),Performance of Tasks in Remote Work (Decision Making),Performance of Tasks in Remote Work (Problem Solving),Performance of Tasks in Remote Work (Creativity & Innovation),Performance of Tasks in Remote Work (Technology Use),Performance of Tasks in Remote Work (Time Management),Performance of Tasks in Remote Work (Stress Management),Performance of Tasks in Remote Work (Networking),Performance of Tasks in Remote Work (Team Leadership),Performance of Tasks in Remote Work (Conflict Management),Performance of Tasks in Remote Work (People Management),Performance of Tasks in Remote Work (Presentation Skills),Performance of Tasks in Remote Work (Writing Skills),Performance of Tasks in Remote Work (Analysis & Reporting),Performance of Tasks in Remote Work (Project Management),Performance of Tasks in Remote Work (Financial Management),Performance of Tasks in Remote Work (Productivity & Efficiency),Performance of Tasks in Remote Work (Adaptation to Change),Performance of Tasks in Remote Work (Learning),Performance of Tasks in Remote Work (Self-Motivation),Performance of Tasks in Remote Work (Health & Safety),Performance of Tasks in Remote Work (Networking)_1,Performance of Tasks in Remote Work (Stress Management)_1,Biggest Personal Remote Work Barrier,Economic Impact of Remote Work,Societal Impact of Remote Work,Environmental Impact of Remote Work,Personal Wellbeing Impact of Remote Work,Income/Career Impact of Remote Work,Productivity Impact of Remote Work,Work-Life Balance Impact of Remote Work,Biggest Personal Positive Impact of Remote Work,Biggest Personal Negative Impact of Remote Work
278,1986,Female,More than 5 years,"Agriculture, Forestry and Fishing",Managers - Specialist Managers,Between 20 and 199,Other one family household,Regional,20%,60%,80%,Less than 10% of my time,Less than 10% of my time,No,Yes,70%,30%,No,50% - About half of my time,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neither positive nor negative,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,Senior leadership,Somewhat likely,Somewhat unlikely,Neither unlikely or likely,6.0,7.0,1.0,5.0,5.0,6.0,6.0,4.0,2.0,6.0,No,0.1,Somewhat worsened,Somewhat worsened,Significantly worsened,Somewhat improved,Significantly worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Significantly improved,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Significantly worsened,Somewhat worsened,Stayed about the same,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Interruptions,Lack of privacy,Difficulty innovating,Difficulty innovating,Interruptions,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Difficulty innovating,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Noisy work environment,Lack of appropriate work and meeting spaces,Lack of privacy,Difficulty collaborating with remote colleagues,Noisy work environment,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Im 30% more productive when working remotely,Im 30% more productive when working remotely
279,1965,Female,Between 1 and 5 years,Health Care and Social Assistance,Professionals - Health Professionals,I am a sole trader/owner-operator,Single person,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,No,No,Less than 10% of my time,Less than 10% of my time,No,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly Positive,Senior leadership,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1.0,10.0,1.0,3.0,9.0,0.0,8.0,2.0,6.0,8.0,No,0.1,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Significantly worsened,Somewhat worsened,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Strongly agree,Neither agree nor disagree,Strongly disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,Im 50% more productive when working remotely (or more)
280,1970,Male,More than 5 years,Education and Training,Professionals - Education Professionals,Between 20 and 199,Couple with dependent children,Metro,Rarely or never,50% - About half of my time,Rarely or never,50% - About half of my time,I would prefer not to work remotely,Yes,No,Less than 10% of my time,Less than 10% of my time,Yes,100% - All of my time,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither positive nor negative,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat Positive,They are about the same,Very unlikely,Very unlikely,Very unlikely,3.0,8.0,5.0,2.0,6.0,2.0,10.0,5.0,2.0,5.0,No,0.1,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,Im 50% more productive when working remotely (or more)
281,1961,Male,More than 5 years,Public Administration and Safety,Managers - Specialist Managers,Between 5 and 19,Couple with no dependent children,Metro,70%,60%,60%,40%,20%,Yes,Yes,40%,50% - About half of my time,Yes,40%,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither positive nor negative,They are about the same,Somewhat unlikely,Somewhat unlikely,Neither unlikely or likely,2.0,8.0,3.0,4.0,7.0,0.5,9.0,1.5,5.0,8.0,No,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Somewhat worsened,Stayed about the same,Stayed about the same,Noisy work environment,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Lack of privacy,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Lack of privacy,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty collaborating with remote colleagues,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Im 30% more productive when working remotely,Im 30% more productive when working remotely
282,1980,Female,More than 5 years,Other Services,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,Couple with no dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Yes,Yes,Less than 10% of my time,Less than 10% of my time,No,50% - About half of my time,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly Positive,They are about the same,Very likely,Very likely,Very likely,4.0,7.5,3.5,2.0,7.0,0.5,7.5,3.5,3.5,9.0,Yes,0.2,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Not a barrier for me,Significantly improved,Somewhat improved,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,Im 50% more productive when working remotely (or more)
283,1963,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,Between 5 and 19,Couple with no dependent children,Metro,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Yes,Yes,Less than 10% of my time,Less than 10% of my time,No,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly Positive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Neither positive nor negative,They are about the same,Somewhat likely,Somewhat unlikely,Somewhat likely,1.0,9.0,2.0,5.0,7.0,1.0,8.0,3.0,5.0,7.0,No,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Lack of privacy,Noisy work environment,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty innovating,Interruptions,Noisy work environment,Interruptions,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Difficulty innovating,Noisy work environment,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Noisy work environment,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 20% more productive when working remotely,Im 50% more productive when working remotely (or more)
284,1961,Male,More than 5 years,Financial and Insurance,Professionals - ICT Professionals,More than 200,Couple with no dependent children,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,50% - About half of my time,50% - About half of my time,Yes,Yes,50% - About half of my time,50% - About half of my time,Yes,50% - About half of my time,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat Negative,They are about the same,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,2.0,9.0,2.0,3.0,8.0,1.0,9.0,3.0,3.0,8.0,No,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Noisy work environment,Interruptions,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Difficulty innovating,Noisy work environment,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Noisy work environment,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,Im 50% more productive when working remotely (or more)
285,1964,Male,Between 6 and 12 months,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,Group household,Metro,20%,100% - All of my time,20%,100% - All of my time,Less than 10% of my time,No,Yes,20%,Less than 10% of my time,Yes,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,2.0,7.5,4.0,4.0,6.5,0.5,8.0,5.0,3.5,7.0,No,0.1,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Difficulty collaborating with remote colleagues,Interruptions,Connectivity/internet issues,Problems with audio-visual setup,Connectivity/internet issues,Interruptions,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Connectivity/internet issues,Noisy work environment,Interruptions,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Difficulty innovating,Lack of appropriate work and meeting spaces,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Strongly disagree,Strongly disagree,Strongly agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 30% less productive when working remotely,Im 50% more productive when working remotely (or more)
286,1974,Male,Between 1 and 5 years,Information Media and Telecommunications,Technicians and trades workers - Electrotechnology and Telecommunications Trades Workers,Between 20 and 199,Couple with dependent children,Metro,Less than 10% of my time,I would not have preferred to work remotely,Rarely or never,I would not have preferred to work remotely,I would prefer not to work remotely,No,Yes,Less than 10% of my time,Less than 10% of my time,No,50% - About half of my time,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,1.5,10.0,2.0,3.5,7.0,0.0,10.0,2.0,5.0,7.0,No,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Somewhat disagree,Strongly disagree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Im 10% less productive when working remotely,Im 10% less productive when working remotely
287,1980,Male,Between 1 and 5 years,Manufacturing,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Couple with no dependent children,Metro,Less than 10% of my time,30%,Rarely or never,30%,30%,No,Yes,Less than 10% of my time,30%,Yes,100% - All of my time,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither positive nor negative,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat Positive,My direct manger(s),Very unlikely,Somewhat unlikely,Very unlikely,1.5,7.6,2.8999,4.0,8.0,0.5,9.0,3.0,4.0,8.0,No,0.1,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Noisy work environment,Strongly agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Im 50% more productive when working remotely (or more),Im 50% more productive when working remotely (or more)
288,1972,Male,More than 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,Single person,Metro,90%,90%,90%,90%,90%,Yes,No,Less than 10% of my time,Less than 10% of my time,No,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,They are about the same,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,3.0,8.0,1.0,2.0,10.0,0.0,10.0,2.0,2.0,10.0,No,0.1,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Lack of privacy,Noisy work environment,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Difficulty innovating,Noisy work environment,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Lack of privacy,Difficulty innovating,Noisy work environment,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty innovating,Noisy work environment,Connectivity/internet issues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Strongly agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Im 30% more productive when working remotely,Im 30% more productive when working remotely
289,1969,Male,Between 1 and 5 years,Public Administration and Safety,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,Couple with dependent children,Metro,80%,Less than 10% of my time,20%,20%,20%,Yes,Yes,10%,20%,No,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Positive,Senior leadership,Somewhat likely,Neither unlikely or likely,Somewhat likely,1.0,7.0,1.0,8.0,7.0,0.0,7.0,5.0,5.0,7.0,No,0.1,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Somewhat worsened,Not a barrier for me,Not a barrier for me,Significantly worsened,Not a barrier for me,Not a barrier for me,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty collaborating with remote colleagues,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 30% more productive when working remotely,Im 50% more productive when working remotely (or more)
290,1964,Male,Between 1 and 5 years,Construction,Labourers - Construction and Mining Labourers,Between 5 and 19,Couple with no dependent children,Regional,Less than 10% of my time,20%,20%,40%,40%,No,Yes,40%,50% - About half of my time,No,50% - About half of my time,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat Positive,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly Positive,My direct manger(s),Somewhat likely,Neither unlikely or likely,Neither unlikely or likely,1.0,8.0,3.0,6.0,6.0,2.0,8.0,2.0,6.0,6.0,No,0.1,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Difficulty collaborating with remote colleagues,Noisy work environment,Lack of appropriate work and meeting spaces,Lack of privacy,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Difficulty innovating,Interruptions,Noisy work environment,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Difficulty innovating,Lack of appropriate work and meeting spaces,Noisy work environment,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Noisy work environment,Interruptions,Lack of appropriate work and meeting spaces,Difficulty innovating,Problems with audio-visual setup,Somewhat agree,Somewhat agree,Strongly agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,Im 50% more productive when working remotely (or more)
