Employee ID,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,Customer S.,Communication,Leadership D.,Project M.,Technical S.
1047,27-Nov-22,Project Management,Internal,Passed,Smithland,Joseph Mendoza,2,606.63,NO,NO,NO,YES,YES
1048,02-Dec-22,Leadership Development,Internal,Completed,Powelltown,Joseph Mendoza,5,503.99,NO,NO,YES,YES,YES
1049,20-Nov-22,Leadership Development,Internal,Completed,Gonzalezfort,Joseph Mendoza,2,518.54,NO,NO,YES,YES,YES
1050,03-Aug-23,Customer Service,Internal,Completed,Samanthaport,Joseph Mendoza,1,846.43,YES,NO,NO,YES,YES
1051,13-Oct-22,Leadership Development,Internal,Passed,Hardingfort,Joseph Mendoza,3,572.94,NO,NO,YES,YES,YES
1052,25-Oct-22,Communication Skills,Internal,Incomplete,Larryview,Joseph Mendoza,4,234.76,NO,YES,NO,YES,YES
1053,19-Dec-22,Communication Skills,Internal,Passed,Valdezfort,Joseph Mendoza,4,704.7,NO,YES,NO,YES,YES
1054,04-Nov-22,Technical Skills,External,Failed,Tammyfurt,Joseph Mendoza,3,533.97,NO,NO,NO,YES,YES
1055,15-Nov-22,Customer Service,Internal,Passed,West Robert,Joseph Mendoza,2,125.7,YES,NO,NO,YES,YES
1056,16-Feb-23,Leadership Development,Internal,Completed,South Julieville,Joseph Mendoza,2,442.06,NO,NO,YES,YES,YES
1057,23-Oct-22,Project Management,Internal,Failed,East Amanda,Joseph Mendoza,4,649.23,NO,NO,NO,YES,YES
1058,01-Apr-23,Project Management,External,Incomplete,South Jesusport,Joseph Mendoza,1,855.67,NO,NO,NO,YES,YES
1059,16-Sep-22,Technical Skills,Internal,Incomplete,Brianville,Joseph Mendoza,3,256.82,NO,NO,NO,YES,YES
1060,06-Sep-22,Project Management,Internal,Completed,East Andres,Joseph Mendoza,1,770.84,NO,NO,NO,YES,YES
1061,01-Aug-23,Project Management,Internal,Incomplete,Paigefurt,Joseph Mendoza,2,862.33,NO,NO,NO,YES,YES
1062,27-Nov-22,Technical Skills,Internal,Failed,Carolinemouth,Joseph Mendoza,5,702.84,NO,NO,NO,YES,YES
1063,15-Oct-22,Technical Skills,Internal,Completed,Onealland,Joseph Mendoza,1,523.82,NO,NO,NO,YES,YES
1064,06-Oct-22,Leadership Development,External,Passed,South Charlene,Joseph Mendoza,1,819.86,NO,NO,YES,YES,YES
1065,09-Dec-22,Technical Skills,External,Passed,East Leah,Joseph Mendoza,4,486.01,NO,NO,NO,YES,YES
1066,14-Jun-23,Communication Skills,Internal,Completed,Brandonberg,Joseph Mendoza,5,769.42,NO,YES,NO,YES,YES
1067,24-Jun-23,Project Management,External,Completed,Toddtown,Joseph Mendoza,5,857.65,NO,NO,NO,YES,YES
1068,06-Nov-22,Communication Skills,Internal,Completed,Richardmouth,Joseph Mendoza,1,238.27,NO,YES,NO,YES,YES
1069,22-Aug-22,Communication Skills,Internal,Failed,South Angelaview,Joseph Mendoza,5,886.06,NO,YES,NO,YES,YES
1070,14-Jan-23,Technical Skills,Internal,Failed,Robertside,Joseph Mendoza,1,943.8,NO,NO,NO,YES,YES
1071,16-Mar-23,Communication Skills,Internal,Completed,Johnport,Joseph Mendoza,5,234.26,NO,YES,NO,YES,YES
1072,19-May-23,Technical Skills,Internal,Passed,Mendozamouth,Joseph Mendoza,5,179.91,NO,NO,NO,YES,YES
1073,03-Oct-22,Project Management,Internal,Failed,Ivanburgh,Joseph Mendoza,4,306.3,NO,NO,NO,YES,YES
1074,07-Jul-23,Project Management,Internal,Passed,Davisberg,Joseph Mendoza,5,103.42,NO,NO,NO,YES,YES
1075,16-May-23,Project Management,Internal,Passed,East Darryl,Joseph Mendoza,4,573.29,NO,NO,NO,YES,YES
1076,07-Nov-22,Technical Skills,External,Incomplete,Jamieville,Joseph Mendoza,4,619.61,NO,NO,NO,YES,YES
1077,21-Dec-22,Project Management,Internal,Incomplete,West Brookechester,Joseph Mendoza,1,947.17,NO,NO,NO,YES,YES
1078,24-Mar-23,Project Management,External,Passed,Villanuevaborough,Joseph Mendoza,1,597.64,NO,NO,NO,YES,YES
1079,15-Apr-23,Communication Skills,Internal,Incomplete,North Jon,Joseph Mendoza,5,861.1,NO,YES,NO,YES,YES
1080,22-Apr-23,Customer Service,External,Passed,Mcleanburgh,Joseph Mendoza,4,199.14,YES,NO,NO,NO,YES
1081,05-Jun-23,Communication Skills,Internal,Failed,Brandonview,Joseph Mendoza,3,526.08,NO,YES,NO,NO,YES
1082,22-Apr-23,Customer Service,External,Incomplete,New Colinfort,Joseph Mendoza,5,662.15,YES,NO,NO,NO,YES
1083,18-Nov-22,Project Management,External,Completed,North Brandy,Molly Hughes,4,869.89,NO,NO,NO,YES,YES
1084,17-Dec-22,Leadership Development,External,Completed,West Jessicatown,Molly Hughes,3,295.4,NO,NO,YES,NO,YES
1085,01-Nov-22,Customer Service,External,Passed,East Katherinetown,Molly Hughes,5,993.13,YES,NO,NO,NO,YES
1086,15-Jul-23,Leadership Development,External,Completed,East Robertside,Molly Hughes,2,641.69,NO,NO,YES,NO,YES
1087,10-May-23,Technical Skills,Internal,Incomplete,Heatherview,Molly Hughes,5,197.34,NO,NO,NO,NO,YES
1088,17-May-23,Leadership Development,External,Failed,North Elizabeth,Molly Hughes,2,235.15,NO,NO,YES,NO,YES
1089,27-May-23,Technical Skills,Internal,Passed,North Amanda,Molly Hughes,2,697.28,NO,NO,NO,NO,YES
1090,21-Mar-23,Communication Skills,Internal,Completed,Wrightton,Molly Hughes,1,910.33,NO,YES,NO,NO,YES
1091,20-Oct-22,Customer Service,Internal,Incomplete,Port Patricia,Molly Hughes,2,213.91,YES,NO,NO,NO,YES
1092,20-Sep-22,Communication Skills,Internal,Completed,Wilkinsfurt,Molly Hughes,5,971.46,NO,YES,NO,NO,YES
1093,07-Jul-23,Customer Service,External,Failed,West Matthew,Molly Hughes,5,995.52,YES,NO,NO,NO,YES
1094,18-Aug-22,Communication Skills,Internal,Failed,South Joshuatown,Molly Hughes,4,161.4,NO,YES,NO,NO,YES
1095,17-Aug-22,Customer Service,Internal,Passed,New Kimberly,Molly Hughes,4,715.87,YES,NO,NO,NO,YES
1096,25-Sep-22,Technical Skills,External,Incomplete,Alexandriachester,Molly Hughes,5,778.25,NO,NO,NO,NO,YES
1097,11-Aug-22,Customer Service,Internal,Completed,Port Danielmouth,Molly Hughes,1,609.5,YES,NO,NO,NO,YES
1098,13-May-23,Leadership Development,External,Failed,Rachelshire,Molly Hughes,5,666.67,NO,NO,YES,NO,NO
1099,30-Oct-22,Project Management,External,Incomplete,Arthurmouth,Molly Hughes,5,797.05,NO,NO,NO,YES,NO
1100,25-Feb-23,Communication Skills,Internal,Completed,Brownmouth,Sarah Cain,3,518.56,NO,YES,NO,NO,NO
1101,31-Mar-23,Communication Skills,Internal,Passed,Osbornfort,Sarah Cain,5,426.82,NO,YES,NO,NO,NO
1102,31-Dec-22,Project Management,External,Failed,Taylorburgh,Sarah Cain,2,150.04,NO,NO,NO,YES,NO
1103,05-Jul-23,Leadership Development,External,Passed,Hoffmanview,Sarah Cain,3,308.21,NO,NO,YES,NO,NO
1104,11-Aug-22,Communication Skills,Internal,Completed,West Joel,Sarah Cain,4,766.77,NO,YES,NO,NO,NO
1105,17-Jan-23,Technical Skills,Internal,Incomplete,Lake Heidi,Sarah Cain,4,172.19,NO,NO,NO,NO,YES
1106,31-Oct-22,Project Management,Internal,Completed,Port Jacob,Sarah Cain,1,742.55,NO,NO,NO,YES,NO
1107,26-Jan-23,Technical Skills,Internal,Failed,West Lisafort,Sarah Cain,2,231.28,NO,NO,NO,NO,YES
1108,23-May-23,Customer Service,Internal,Completed,Ricardoberg,Sarah Cain,5,124.54,YES,NO,NO,NO,NO
1109,21-Jan-23,Leadership Development,External,Completed,South Ericburgh,Sarah Cain,5,898.37,NO,NO,YES,NO,NO
1110,13-Oct-22,Customer Service,Internal,Passed,Webbmouth,Sarah Cain,2,764.36,YES,NO,NO,NO,NO
1111,05-Dec-22,Project Management,Internal,Failed,Davilatown,Sarah Cain,5,786.57,NO,NO,NO,YES,NO
1112,30-Sep-22,Communication Skills,Internal,Failed,Delgadoshire,Sarah Cain,3,668.05,NO,YES,NO,NO,NO
1113,20-Jan-23,Technical Skills,External,Incomplete,Lake Eileenfurt,Sarah Cain,2,956.92,NO,NO,NO,NO,YES
1114,25-Feb-23,Communication Skills,Internal,Incomplete,Jesusland,Sarah Cain,1,912.27,NO,YES,NO,NO,NO
1115,19-May-23,Customer Service,Internal,Incomplete,Aguirreland,Sarah Cain,4,881.71,YES,NO,NO,NO,NO
1116,16-May-23,Communication Skills,Internal,Incomplete,Kempmouth,Sarah Cain,4,557.68,NO,YES,NO,NO,NO
1117,12-Jan-23,Communication Skills,Internal,Completed,Lake Emily,Sarah Cain,4,271.68,NO,YES,NO,NO,NO
1118,16-Dec-22,Communication Skills,Internal,Completed,North Whitney,Patricia Morris,2,299.68,NO,YES,NO,NO,NO
1119,08-Jul-23,Communication Skills,Internal,Incomplete,Kaylaburgh,Patricia Morris,5,440.28,NO,YES,NO,NO,NO
1120,10-Mar-23,Leadership Development,Internal,Incomplete,Swansonstad,Patricia Morris,4,553.83,NO,NO,YES,NO,NO
1121,19-Sep-22,Leadership Development,Internal,Failed,Richardfurt,Patricia Morris,1,428.9,NO,NO,YES,NO,NO
1122,21-Jan-23,Communication Skills,Internal,Passed,Allentown,Patricia Morris,3,444.4,NO,YES,NO,NO,NO
1123,31-Jan-23,Project Management,Internal,Completed,Port Misty,Patricia Morris,4,254.38,NO,NO,NO,YES,NO
1124,03-Nov-22,Communication Skills,Internal,Failed,Jennyport,Patricia Morris,1,256.21,NO,YES,NO,NO,NO
1125,14-Dec-22,Communication Skills,Internal,Incomplete,New Gregory,Patricia Morris,2,756.19,NO,YES,NO,NO,NO
1126,29-Jul-23,Technical Skills,Internal,Failed,North Benjaminstad,Patricia Morris,4,500.45,NO,NO,NO,NO,YES
1127,04-Sep-22,Communication Skills,Internal,Incomplete,New Waynehaven,Patricia Morris,2,500.83,NO,YES,NO,NO,NO
1128,17-May-23,Communication Skills,Internal,Incomplete,New Cory,Patricia Morris,1,773.8,NO,YES,NO,NO,NO
1129,11-Sep-22,Technical Skills,Internal,Passed,Ashleyton,Patricia Morris,2,768.06,NO,NO,NO,NO,YES
1130,09-Nov-22,Leadership Development,External,Completed,Bellport,Patricia Morris,3,777.7,NO,NO,YES,NO,NO
1131,31-Mar-23,Customer Service,Internal,Incomplete,Garnerhaven,Patricia Morris,2,943.05,YES,NO,NO,NO,NO
1132,27-Sep-22,Communication Skills,Internal,Passed,Robertsburgh,Patricia Morris,4,475.91,NO,YES,NO,NO,NO
1133,19-Aug-22,Customer Service,External,Passed,Blakeshire,Richard Ross,3,107.14,YES,NO,NO,NO,NO
1134,09-Dec-22,Communication Skills,Internal,Passed,Robertshire,Richard Ross,1,271.49,NO,YES,NO,NO,NO
1135,22-Mar-23,Project Management,Internal,Passed,West Caitlinport,Richard Ross,2,524.23,NO,NO,NO,YES,NO
1136,25-Dec-22,Customer Service,External,Completed,Brittanyberg,Richard Ross,3,535.88,YES,NO,NO,NO,NO
1137,09-Sep-22,Communication Skills,Internal,Passed,Rothville,Richard Ross,5,270.92,NO,YES,NO,NO,NO
1138,10-Sep-22,Customer Service,Internal,Failed,Cohenmouth,Richard Ross,4,155.14,YES,NO,NO,NO,NO
1139,01-Oct-22,Customer Service,External,Completed,Port Brandon,Richard Ross,1,930.06,YES,NO,NO,NO,NO
1140,27-Sep-22,Customer Service,Internal,Passed,West Michael,Richard Ross,1,949.81,YES,NO,NO,NO,NO
1141,17-May-23,Technical Skills,Internal,Incomplete,Josephport,Richard Ross,1,635.31,NO,NO,NO,NO,YES
1142,17-Jul-23,Leadership Development,External,Completed,Mistyton,Richard Ross,3,675.04,NO,NO,YES,NO,NO
1143,20-Dec-22,Customer Service,Internal,Failed,Geraldmouth,Richard Ross,3,563.38,YES,NO,NO,NO,NO
1144,10-Jan-23,Communication Skills,Internal,Completed,Cherylland,Richard Ross,4,750.25,NO,YES,NO,NO,NO
1145,15-Nov-22,Technical Skills,Internal,Incomplete,North Madelineville,Richard Ross,2,401.53,NO,NO,NO,NO,YES
1146,28-Jun-23,Technical Skills,External,Failed,East Elizabeth,Andrew Hendricks,3,894.88,NO,NO,NO,NO,YES
1147,25-Jan-23,Leadership Development,Internal,Failed,Lake Dianeton,Ms. Diamond Knox,2,247.58,NO,NO,YES,NO,NO
1148,01-Sep-22,Communication Skills,Internal,Passed,West Danieltown,Ms. Diamond Knox,3,529,NO,YES,NO,NO,NO
1149,31-Jul-23,Leadership Development,External,Failed,East Nicolefort,Ms. Diamond Knox,5,483.99,NO,NO,YES,NO,NO
1150,03-Jun-23,Project Management,External,Incomplete,Simmonston,Ms. Diamond Knox,5,797.35,NO,NO,NO,YES,NO
1151,19-Dec-22,Project Management,External,Passed,New Ronald,Ms. Diamond Knox,4,707.59,NO,NO,NO,YES,NO
1152,29-Mar-23,Customer Service,External,Incomplete,Taraland,Ms. Diamond Knox,2,564.48,YES,NO,NO,NO,NO
1153,02-Dec-22,Communication Skills,Internal,Failed,Jesusmouth,Ms. Diamond Knox,4,555.35,NO,YES,NO,NO,NO
1154,12-Aug-22,Customer Service,Internal,Incomplete,West Sandra,Ms. Diamond Knox,3,338.48,YES,NO,NO,NO,NO
1155,10-Sep-22,Technical Skills,Internal,Failed,Port Peggyberg,Ms. Diamond Knox,1,339.01,NO,NO,NO,NO,YES
1156,04-Sep-22,Customer Service,Internal,Incomplete,North Kayla,Ms. Diamond Knox,5,939.49,YES,NO,NO,NO,NO
1157,11-Oct-22,Technical Skills,External,Passed,Jamiestad,Ms. Diamond Knox,1,276.47,NO,NO,NO,NO,YES
1158,14-Sep-22,Customer Service,External,Completed,South Stephen,Ms. Diamond Knox,3,154.71,YES,NO,NO,NO,NO
1159,27-Dec-22,Leadership Development,External,Failed,Diazside,Ms. Diamond Knox,3,674.24,NO,NO,YES,NO,NO
1160,07-Nov-22,Leadership Development,External,Failed,Lake Nancyshire,Susan Myers,2,137.96,NO,NO,YES,NO,NO
1161,13-Nov-22,Technical Skills,Internal,Passed,Port Charleneborough,Jeffrey Hester,5,926.85,NO,NO,NO,NO,YES
1162,02-Sep-22,Communication Skills,Internal,Incomplete,Port Michelle,Jose Boyd,1,846.55,NO,YES,NO,NO,NO
1163,23-Feb-23,Communication Skills,Internal,Passed,Wrightfort,Robin Morgan,3,734.77,NO,YES,NO,NO,NO
1164,01-Mar-23,Technical Skills,Internal,Incomplete,New Juanville,Anne Goodman,3,315.09,NO,NO,NO,NO,YES
1165,27-Sep-22,Communication Skills,Internal,Passed,Nguyenberg,Anne Goodman,3,686.05,NO,YES,NO,NO,NO
1166,10-Aug-22,Communication Skills,Internal,Passed,New Claytonville,Anne Goodman,4,942.51,NO,YES,NO,NO,NO
1167,23-Feb-23,Project Management,Internal,Failed,Nicolechester,Anne Goodman,4,782.82,NO,NO,NO,YES,NO
1168,02-Sep-22,Project Management,Internal,Failed,Port Dawn,Anne Goodman,1,370.64,NO,NO,NO,YES,NO
1169,30-Jun-23,Technical Skills,Internal,Incomplete,Eduardostad,Anne Goodman,1,487.66,NO,NO,NO,NO,YES
1170,04-Aug-23,Communication Skills,Internal,Incomplete,Christopherport,Anne Goodman,1,179.85,NO,YES,NO,NO,NO
1171,07-Sep-22,Project Management,Internal,Completed,Perryside,Anne Goodman,1,294.74,NO,NO,NO,YES,NO
1172,30-Mar-23,Communication Skills,Internal,Passed,North Christina,Anne Goodman,5,202.09,NO,YES,NO,NO,NO
1173,09-Feb-23,Customer Service,Internal,Passed,Brownington,Anne Goodman,4,901.42,YES,NO,NO,NO,NO
1174,12-May-23,Project Management,External,Incomplete,North Angelahaven,Anne Goodman,3,454.23,NO,NO,NO,YES,NO
1175,04-Jan-23,Project Management,Internal,Passed,Duffyport,Anne Goodman,3,460.39,NO,NO,NO,YES,NO
1176,14-Feb-23,Leadership Development,Internal,Completed,East Karen,Anne Goodman,2,644.72,NO,NO,YES,NO,NO
1177,17-Sep-22,Customer Service,External,Passed,New Joseph,Anne Goodman,3,436.86,YES,NO,NO,NO,NO
1178,21-Dec-22,Project Management,External,Failed,Gomezville,Anne Goodman,1,361.52,NO,NO,NO,YES,NO
1179,11-Feb-23,Technical Skills,Internal,Passed,Thompsonport,Anne Goodman,2,229.05,NO,NO,NO,NO,YES
1180,17-Nov-22,Technical Skills,Internal,Completed,Thompsonfort,Anne Goodman,3,787.85,NO,NO,NO,NO,YES
1181,31-Dec-22,Communication Skills,Internal,Incomplete,Sullivanland,Anne Goodman,1,483.82,NO,YES,NO,NO,NO
1182,19-Oct-22,Communication Skills,Internal,Passed,West Elizabethfurt,Anne Goodman,5,623.64,NO,YES,NO,NO,NO
1183,16-Jul-23,Technical Skills,Internal,Incomplete,Silvaview,Anne Goodman,4,351.35,NO,NO,NO,NO,YES
1184,31-Jan-23,Customer Service,Internal,Completed,Deniseville,Anne Goodman,3,512.51,YES,NO,NO,NO,NO
1185,22-Sep-22,Project Management,Internal,Failed,North Jason,Anne Goodman,5,957.9,NO,NO,NO,YES,NO
1186,12-Jun-23,Communication Skills,Internal,Failed,Port John,Anne Goodman,5,886.45,NO,YES,NO,NO,NO
1187,25-Oct-22,Communication Skills,Internal,Incomplete,Acevedoshire,Anne Goodman,4,443.55,NO,YES,NO,NO,NO
1188,07-Jan-23,Technical Skills,Internal,Passed,Martinburgh,Justin Soto,4,899.13,NO,NO,NO,NO,YES
1189,20-Sep-22,Communication Skills,Internal,Completed,Cabreramouth,Angela Hammond,1,202.74,NO,YES,NO,NO,NO
1190,21-May-23,Project Management,External,Failed,Phillipsfurt,Debbie Miller,4,727.81,NO,NO,NO,YES,NO
1191,23-Sep-22,Customer Service,Internal,Completed,Lake Benjamin,Kenneth Kim,2,820.39,YES,NO,NO,NO,NO
1192,11-Oct-22,Leadership Development,External,Passed,Smithbury,Amber Gonzalez,4,111.94,NO,NO,YES,NO,NO
1193,05-May-23,Technical Skills,External,Failed,North Victorstad,Amy Bush,1,231.96,NO,NO,NO,NO,YES
1194,07-May-23,Communication Skills,Internal,Completed,Floresville,Kevin Welch,2,430.92,NO,YES,NO,NO,NO
1195,06-Jul-23,Technical Skills,Internal,Failed,East Jason,Kevin Welch,3,638.7,NO,NO,NO,NO,YES
1196,28-Feb-23,Communication Skills,Internal,Completed,New Caroline,Kevin Welch,5,355.3,NO,YES,NO,NO,NO
1197,25-Feb-23,Technical Skills,Internal,Passed,Debramouth,Kevin Welch,5,575.1,NO,NO,NO,NO,YES
1198,19-Jun-23,Project Management,Internal,Failed,North Yvonne,Kevin Welch,1,140.82,NO,NO,NO,YES,NO
1199,28-Nov-22,Leadership Development,External,Passed,Claytonstad,Kevin Welch,2,663.19,NO,NO,YES,NO,NO
1200,29-Jul-23,Project Management,Internal,Incomplete,South Brendabury,Zachary Alvarez,2,996.77,NO,NO,NO,YES,NO
1201,10-Oct-22,Communication Skills,Internal,Passed,Edwardborough,Paul Henderson,2,145.39,NO,YES,NO,NO,NO
1202,08-Dec-22,Technical Skills,Internal,Incomplete,Connerborough,Kelly Thompson DDS,1,344.74,NO,NO,NO,NO,YES
1203,12-Oct-22,Project Management,External,Incomplete,Ramirezville,Jennifer Miller,5,308.09,NO,NO,NO,YES,NO
1204,16-Jul-23,Project Management,External,Incomplete,Isaiahview,Jennifer Miller,1,610.96,NO,NO,NO,YES,NO
1205,01-Aug-23,Communication Skills,Internal,Failed,East Loriberg,Jennifer Miller,3,201.83,NO,YES,NO,NO,NO
1206,20-Jul-23,Technical Skills,Internal,Passed,Smithstad,Jennifer Miller,5,391.85,NO,NO,NO,NO,YES
1207,07-Dec-22,Communication Skills,Internal,Completed,East Michaelfort,Jennifer Miller,5,682.36,NO,YES,NO,NO,NO
1208,20-Sep-22,Leadership Development,Internal,Passed,Josephside,Jennifer Miller,3,492.39,NO,NO,YES,NO,NO
1209,18-Jun-23,Communication Skills,Internal,Failed,Kruegerville,Jennifer Miller,2,197.78,NO,YES,NO,NO,NO
1210,09-Jan-23,Leadership Development,External,Incomplete,Port Cynthia,Jennifer Miller,4,485.44,NO,NO,YES,NO,NO
1211,30-Jul-23,Leadership Development,External,Passed,South Robinhaven,Kendra Rodriguez,3,557.34,NO,NO,YES,NO,NO
1212,03-May-23,Project Management,Internal,Failed,East Frank,Kimberly May,5,817.92,NO,NO,NO,YES,NO
1213,15-Feb-23,Project Management,External,Failed,Johnsonton,Katelyn Ruiz,4,485.39,NO,NO,NO,YES,NO
1214,02-Apr-23,Customer Service,Internal,Completed,West Jessica,Katelyn Ruiz,3,145.13,YES,NO,NO,NO,NO
1215,13-Sep-22,Communication Skills,Internal,Passed,West Dianashire,Katelyn Ruiz,4,751.88,NO,YES,NO,NO,NO
1216,16-Jul-23,Leadership Development,External,Incomplete,Roweport,Katelyn Ruiz,1,136.48,NO,NO,YES,NO,NO
1217,17-Apr-23,Customer Service,External,Completed,Jeremytown,Katelyn Ruiz,1,857.42,YES,NO,NO,NO,NO
1218,30-Jan-23,Leadership Development,Internal,Failed,Henryberg,Katelyn Ruiz,3,733.16,NO,NO,YES,NO,NO
1219,15-Sep-22,Communication Skills,Internal,Failed,West Kevintown,Katelyn Ruiz,5,761.31,NO,YES,NO,NO,NO
1220,29-Jun-23,Leadership Development,External,Passed,West Brittney,Katelyn Ruiz,1,920.41,NO,NO,YES,NO,NO
1221,25-Aug-22,Customer Service,Internal,Passed,Bonnieborough,Katelyn Ruiz,4,167.69,YES,NO,NO,NO,NO
1222,10-Mar-23,Leadership Development,External,Passed,New Jennifer,Katelyn Ruiz,2,931.45,NO,NO,YES,NO,NO
1223,30-Aug-22,Project Management,External,Completed,Estradahaven,Katelyn Ruiz,1,474.36,NO,NO,NO,YES,NO
