Date,DateAsInteger,Year,MonthNo,YearMonthNo,YearMonth,MonthShort,MonthLong,WeekNo,WeekDay,WeekDayShort,Quarter,YearQuarter
1969-10-28 00:00:00.000,"19691028",1969,"10","1969/10","1969/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1969/Q4"
1970-10-06 00:00:00.000,"19701006",1970,"10","1970/10","1970/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1970/Q4"
1970-10-13 00:00:00.000,"19701013",1970,"10","1970/10","1970/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1970/Q4"
1970-10-20 00:00:00.000,"19701020",1970,"10","1970/10","1970/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1970/Q4"
1970-10-27 00:00:00.000,"19701027",1970,"10","1970/10","1970/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1970/Q4"
1971-10-05 00:00:00.000,"19711005",1971,"10","1971/10","1971/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1971/Q4"
1971-10-12 00:00:00.000,"19711012",1971,"10","1971/10","1971/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1971/Q4"
1971-10-19 00:00:00.000,"19711019",1971,"10","1971/10","1971/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1971/Q4"
1971-10-26 00:00:00.000,"19711026",1971,"10","1971/10","1971/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1971/Q4"
1972-10-03 00:00:00.000,"19721003",1972,"10","1972/10","1972/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1972/Q4"
1972-10-10 00:00:00.000,"19721010",1972,"10","1972/10","1972/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1972/Q4"
1972-10-17 00:00:00.000,"19721017",1972,"10","1972/10","1972/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1972/Q4"
1972-10-24 00:00:00.000,"19721024",1972,"10","1972/10","1972/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1972/Q4"
1972-10-31 00:00:00.000,"19721031",1972,"10","1972/10","1972/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1972/Q4"
1973-10-02 00:00:00.000,"19731002",1973,"10","1973/10","1973/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1973/Q4"
1973-10-09 00:00:00.000,"19731009",1973,"10","1973/10","1973/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1973/Q4"
1973-10-16 00:00:00.000,"19731016",1973,"10","1973/10","1973/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1973/Q4"
1973-10-23 00:00:00.000,"19731023",1973,"10","1973/10","1973/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1973/Q4"
1973-10-30 00:00:00.000,"19731030",1973,"10","1973/10","1973/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1973/Q4"
1974-10-01 00:00:00.000,"19741001",1974,"10","1974/10","1974/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1974/Q4"
1974-10-08 00:00:00.000,"19741008",1974,"10","1974/10","1974/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1974/Q4"
1974-10-15 00:00:00.000,"19741015",1974,"10","1974/10","1974/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1974/Q4"
1974-10-22 00:00:00.000,"19741022",1974,"10","1974/10","1974/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1974/Q4"
1974-10-29 00:00:00.000,"19741029",1974,"10","1974/10","1974/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1974/Q4"
1975-10-07 00:00:00.000,"19751007",1975,"10","1975/10","1975/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1975/Q4"
1975-10-14 00:00:00.000,"19751014",1975,"10","1975/10","1975/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1975/Q4"
1975-10-21 00:00:00.000,"19751021",1975,"10","1975/10","1975/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1975/Q4"
1975-10-28 00:00:00.000,"19751028",1975,"10","1975/10","1975/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1975/Q4"
1976-10-05 00:00:00.000,"19761005",1976,"10","1976/10","1976/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1976/Q4"
1976-10-12 00:00:00.000,"19761012",1976,"10","1976/10","1976/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1976/Q4"
1976-10-19 00:00:00.000,"19761019",1976,"10","1976/10","1976/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1976/Q4"
1976-10-26 00:00:00.000,"19761026",1976,"10","1976/10","1976/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1976/Q4"
1977-10-04 00:00:00.000,"19771004",1977,"10","1977/10","1977/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1977/Q4"
1977-10-11 00:00:00.000,"19771011",1977,"10","1977/10","1977/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1977/Q4"
1977-10-18 00:00:00.000,"19771018",1977,"10","1977/10","1977/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1977/Q4"
1977-10-25 00:00:00.000,"19771025",1977,"10","1977/10","1977/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1977/Q4"
1978-10-03 00:00:00.000,"19781003",1978,"10","1978/10","1978/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1978/Q4"
1978-10-10 00:00:00.000,"19781010",1978,"10","1978/10","1978/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1978/Q4"
1978-10-17 00:00:00.000,"19781017",1978,"10","1978/10","1978/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1978/Q4"
1978-10-24 00:00:00.000,"19781024",1978,"10","1978/10","1978/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1978/Q4"
1978-10-31 00:00:00.000,"19781031",1978,"10","1978/10","1978/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1978/Q4"
1979-10-02 00:00:00.000,"19791002",1979,"10","1979/10","1979/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1979/Q4"
1979-10-09 00:00:00.000,"19791009",1979,"10","1979/10","1979/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1979/Q4"
1979-10-16 00:00:00.000,"19791016",1979,"10","1979/10","1979/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1979/Q4"
1979-10-23 00:00:00.000,"19791023",1979,"10","1979/10","1979/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1979/Q4"
1979-10-30 00:00:00.000,"19791030",1979,"10","1979/10","1979/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1979/Q4"
1980-10-07 00:00:00.000,"19801007",1980,"10","1980/10","1980/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1980/Q4"
1980-10-14 00:00:00.000,"19801014",1980,"10","1980/10","1980/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1980/Q4"
1980-10-21 00:00:00.000,"19801021",1980,"10","1980/10","1980/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1980/Q4"
1980-10-28 00:00:00.000,"19801028",1980,"10","1980/10","1980/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1980/Q4"
1981-10-06 00:00:00.000,"19811006",1981,"10","1981/10","1981/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1981/Q4"
1981-10-13 00:00:00.000,"19811013",1981,"10","1981/10","1981/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1981/Q4"
1981-10-20 00:00:00.000,"19811020",1981,"10","1981/10","1981/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1981/Q4"
1981-10-27 00:00:00.000,"19811027",1981,"10","1981/10","1981/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1981/Q4"
1982-10-05 00:00:00.000,"19821005",1982,"10","1982/10","1982/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1982/Q4"
1982-10-12 00:00:00.000,"19821012",1982,"10","1982/10","1982/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1982/Q4"
1982-10-19 00:00:00.000,"19821019",1982,"10","1982/10","1982/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1982/Q4"
1982-10-26 00:00:00.000,"19821026",1982,"10","1982/10","1982/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1982/Q4"
1983-10-04 00:00:00.000,"19831004",1983,"10","1983/10","1983/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1983/Q4"
1983-10-11 00:00:00.000,"19831011",1983,"10","1983/10","1983/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1983/Q4"
1983-10-18 00:00:00.000,"19831018",1983,"10","1983/10","1983/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1983/Q4"
1983-10-25 00:00:00.000,"19831025",1983,"10","1983/10","1983/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1983/Q4"
1984-10-02 00:00:00.000,"19841002",1984,"10","1984/10","1984/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1984/Q4"
1984-10-09 00:00:00.000,"19841009",1984,"10","1984/10","1984/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1984/Q4"
1984-10-16 00:00:00.000,"19841016",1984,"10","1984/10","1984/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1984/Q4"
1984-10-23 00:00:00.000,"19841023",1984,"10","1984/10","1984/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1984/Q4"
1984-10-30 00:00:00.000,"19841030",1984,"10","1984/10","1984/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1984/Q4"
1985-10-01 00:00:00.000,"19851001",1985,"10","1985/10","1985/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1985/Q4"
1985-10-08 00:00:00.000,"19851008",1985,"10","1985/10","1985/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1985/Q4"
1985-10-15 00:00:00.000,"19851015",1985,"10","1985/10","1985/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1985/Q4"
1985-10-22 00:00:00.000,"19851022",1985,"10","1985/10","1985/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1985/Q4"
1985-10-29 00:00:00.000,"19851029",1985,"10","1985/10","1985/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1985/Q4"
1986-10-07 00:00:00.000,"19861007",1986,"10","1986/10","1986/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1986/Q4"
1986-10-14 00:00:00.000,"19861014",1986,"10","1986/10","1986/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1986/Q4"
1986-10-21 00:00:00.000,"19861021",1986,"10","1986/10","1986/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1986/Q4"
1986-10-28 00:00:00.000,"19861028",1986,"10","1986/10","1986/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1986/Q4"
1987-10-06 00:00:00.000,"19871006",1987,"10","1987/10","1987/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1987/Q4"
1987-10-13 00:00:00.000,"19871013",1987,"10","1987/10","1987/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1987/Q4"
1987-10-20 00:00:00.000,"19871020",1987,"10","1987/10","1987/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1987/Q4"
1987-10-27 00:00:00.000,"19871027",1987,"10","1987/10","1987/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1987/Q4"
1988-10-04 00:00:00.000,"19881004",1988,"10","1988/10","1988/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1988/Q4"
1988-10-11 00:00:00.000,"19881011",1988,"10","1988/10","1988/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1988/Q4"
1988-10-18 00:00:00.000,"19881018",1988,"10","1988/10","1988/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1988/Q4"
1988-10-25 00:00:00.000,"19881025",1988,"10","1988/10","1988/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1988/Q4"
1989-10-03 00:00:00.000,"19891003",1989,"10","1989/10","1989/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1989/Q4"
1989-10-10 00:00:00.000,"19891010",1989,"10","1989/10","1989/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1989/Q4"
1989-10-17 00:00:00.000,"19891017",1989,"10","1989/10","1989/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1989/Q4"
1989-10-24 00:00:00.000,"19891024",1989,"10","1989/10","1989/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1989/Q4"
1989-10-31 00:00:00.000,"19891031",1989,"10","1989/10","1989/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1989/Q4"
1990-10-02 00:00:00.000,"19901002",1990,"10","1990/10","1990/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1990/Q4"
1990-10-09 00:00:00.000,"19901009",1990,"10","1990/10","1990/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1990/Q4"
1990-10-16 00:00:00.000,"19901016",1990,"10","1990/10","1990/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1990/Q4"
1990-10-23 00:00:00.000,"19901023",1990,"10","1990/10","1990/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1990/Q4"
1990-10-30 00:00:00.000,"19901030",1990,"10","1990/10","1990/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1990/Q4"
1991-10-01 00:00:00.000,"19911001",1991,"10","1991/10","1991/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1991/Q4"
1991-10-08 00:00:00.000,"19911008",1991,"10","1991/10","1991/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1991/Q4"
1991-10-15 00:00:00.000,"19911015",1991,"10","1991/10","1991/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1991/Q4"
1991-10-22 00:00:00.000,"19911022",1991,"10","1991/10","1991/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1991/Q4"
1991-10-29 00:00:00.000,"19911029",1991,"10","1991/10","1991/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1991/Q4"
1992-10-06 00:00:00.000,"19921006",1992,"10","1992/10","1992/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1992/Q4"
1992-10-13 00:00:00.000,"19921013",1992,"10","1992/10","1992/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1992/Q4"
1992-10-20 00:00:00.000,"19921020",1992,"10","1992/10","1992/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1992/Q4"
1992-10-27 00:00:00.000,"19921027",1992,"10","1992/10","1992/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1992/Q4"
1993-10-05 00:00:00.000,"19931005",1993,"10","1993/10","1993/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1993/Q4"
1993-10-12 00:00:00.000,"19931012",1993,"10","1993/10","1993/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1993/Q4"
1993-10-19 00:00:00.000,"19931019",1993,"10","1993/10","1993/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1993/Q4"
1993-10-26 00:00:00.000,"19931026",1993,"10","1993/10","1993/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1993/Q4"
1994-10-04 00:00:00.000,"19941004",1994,"10","1994/10","1994/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1994/Q4"
1994-10-11 00:00:00.000,"19941011",1994,"10","1994/10","1994/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1994/Q4"
1994-10-18 00:00:00.000,"19941018",1994,"10","1994/10","1994/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1994/Q4"
1994-10-25 00:00:00.000,"19941025",1994,"10","1994/10","1994/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1994/Q4"
1995-10-03 00:00:00.000,"19951003",1995,"10","1995/10","1995/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1995/Q4"
1995-10-10 00:00:00.000,"19951010",1995,"10","1995/10","1995/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1995/Q4"
1995-10-17 00:00:00.000,"19951017",1995,"10","1995/10","1995/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1995/Q4"
1995-10-24 00:00:00.000,"19951024",1995,"10","1995/10","1995/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1995/Q4"
1995-10-31 00:00:00.000,"19951031",1995,"10","1995/10","1995/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1995/Q4"
1996-10-01 00:00:00.000,"19961001",1996,"10","1996/10","1996/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1996/Q4"
1996-10-08 00:00:00.000,"19961008",1996,"10","1996/10","1996/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1996/Q4"
1996-10-15 00:00:00.000,"19961015",1996,"10","1996/10","1996/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1996/Q4"
1996-10-22 00:00:00.000,"19961022",1996,"10","1996/10","1996/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1996/Q4"
1996-10-29 00:00:00.000,"19961029",1996,"10","1996/10","1996/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1996/Q4"
1997-10-07 00:00:00.000,"19971007",1997,"10","1997/10","1997/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1997/Q4"
1997-10-14 00:00:00.000,"19971014",1997,"10","1997/10","1997/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1997/Q4"
1997-10-21 00:00:00.000,"19971021",1997,"10","1997/10","1997/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1997/Q4"
1997-10-28 00:00:00.000,"19971028",1997,"10","1997/10","1997/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1997/Q4"
1998-10-06 00:00:00.000,"19981006",1998,"10","1998/10","1998/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1998/Q4"
1998-10-13 00:00:00.000,"19981013",1998,"10","1998/10","1998/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1998/Q4"
1998-10-20 00:00:00.000,"19981020",1998,"10","1998/10","1998/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1998/Q4"
1998-10-27 00:00:00.000,"19981027",1998,"10","1998/10","1998/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1998/Q4"
1999-10-05 00:00:00.000,"19991005",1999,"10","1999/10","1999/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1999/Q4"
1999-10-12 00:00:00.000,"19991012",1999,"10","1999/10","1999/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1999/Q4"
1999-10-19 00:00:00.000,"19991019",1999,"10","1999/10","1999/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1999/Q4"
1999-10-26 00:00:00.000,"19991026",1999,"10","1999/10","1999/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","1999/Q4"
2000-10-03 00:00:00.000,"20001003",2000,"10","2000/10","2000/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2000/Q4"
2000-10-10 00:00:00.000,"20001010",2000,"10","2000/10","2000/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2000/Q4"
2000-10-17 00:00:00.000,"20001017",2000,"10","2000/10","2000/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2000/Q4"
2000-10-24 00:00:00.000,"20001024",2000,"10","2000/10","2000/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2000/Q4"
2000-10-31 00:00:00.000,"20001031",2000,"10","2000/10","2000/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2000/Q4"
2001-10-02 00:00:00.000,"20011002",2001,"10","2001/10","2001/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2001/Q4"
2001-10-09 00:00:00.000,"20011009",2001,"10","2001/10","2001/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2001/Q4"
2001-10-16 00:00:00.000,"20011016",2001,"10","2001/10","2001/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2001/Q4"
2001-10-23 00:00:00.000,"20011023",2001,"10","2001/10","2001/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2001/Q4"
2001-10-30 00:00:00.000,"20011030",2001,"10","2001/10","2001/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2001/Q4"
2002-10-01 00:00:00.000,"20021001",2002,"10","2002/10","2002/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2002/Q4"
2002-10-08 00:00:00.000,"20021008",2002,"10","2002/10","2002/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2002/Q4"
2002-10-15 00:00:00.000,"20021015",2002,"10","2002/10","2002/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2002/Q4"
2002-10-22 00:00:00.000,"20021022",2002,"10","2002/10","2002/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2002/Q4"
2002-10-29 00:00:00.000,"20021029",2002,"10","2002/10","2002/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2002/Q4"
2003-10-07 00:00:00.000,"20031007",2003,"10","2003/10","2003/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2003/Q4"
2003-10-14 00:00:00.000,"20031014",2003,"10","2003/10","2003/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2003/Q4"
2003-10-21 00:00:00.000,"20031021",2003,"10","2003/10","2003/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2003/Q4"
2003-10-28 00:00:00.000,"20031028",2003,"10","2003/10","2003/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2003/Q4"
2004-10-05 00:00:00.000,"20041005",2004,"10","2004/10","2004/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2004/Q4"
2004-10-12 00:00:00.000,"20041012",2004,"10","2004/10","2004/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2004/Q4"
2004-10-19 00:00:00.000,"20041019",2004,"10","2004/10","2004/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2004/Q4"
2004-10-26 00:00:00.000,"20041026",2004,"10","2004/10","2004/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2004/Q4"
2005-10-04 00:00:00.000,"20051004",2005,"10","2005/10","2005/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2005/Q4"
2005-10-11 00:00:00.000,"20051011",2005,"10","2005/10","2005/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2005/Q4"
2005-10-18 00:00:00.000,"20051018",2005,"10","2005/10","2005/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2005/Q4"
2005-10-25 00:00:00.000,"20051025",2005,"10","2005/10","2005/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2005/Q4"
2006-10-03 00:00:00.000,"20061003",2006,"10","2006/10","2006/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2006/Q4"
2006-10-10 00:00:00.000,"20061010",2006,"10","2006/10","2006/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2006/Q4"
2006-10-17 00:00:00.000,"20061017",2006,"10","2006/10","2006/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2006/Q4"
2006-10-24 00:00:00.000,"20061024",2006,"10","2006/10","2006/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2006/Q4"
2006-10-31 00:00:00.000,"20061031",2006,"10","2006/10","2006/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2006/Q4"
2007-10-02 00:00:00.000,"20071002",2007,"10","2007/10","2007/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2007/Q4"
2007-10-09 00:00:00.000,"20071009",2007,"10","2007/10","2007/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2007/Q4"
2007-10-16 00:00:00.000,"20071016",2007,"10","2007/10","2007/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2007/Q4"
2007-10-23 00:00:00.000,"20071023",2007,"10","2007/10","2007/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2007/Q4"
2007-10-30 00:00:00.000,"20071030",2007,"10","2007/10","2007/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2007/Q4"
2008-10-07 00:00:00.000,"20081007",2008,"10","2008/10","2008/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2008/Q4"
2008-10-14 00:00:00.000,"20081014",2008,"10","2008/10","2008/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2008/Q4"
2008-10-21 00:00:00.000,"20081021",2008,"10","2008/10","2008/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2008/Q4"
2008-10-28 00:00:00.000,"20081028",2008,"10","2008/10","2008/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2008/Q4"
2009-10-06 00:00:00.000,"20091006",2009,"10","2009/10","2009/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2009/Q4"
2009-10-13 00:00:00.000,"20091013",2009,"10","2009/10","2009/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2009/Q4"
2009-10-20 00:00:00.000,"20091020",2009,"10","2009/10","2009/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2009/Q4"
2009-10-27 00:00:00.000,"20091027",2009,"10","2009/10","2009/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2009/Q4"
2010-10-05 00:00:00.000,"20101005",2010,"10","2010/10","2010/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2010/Q4"
2010-10-12 00:00:00.000,"20101012",2010,"10","2010/10","2010/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2010/Q4"
2010-10-19 00:00:00.000,"20101019",2010,"10","2010/10","2010/Oct","Oct","October",3,"Tuesday","Tuesday","Q4","2010/Q4"
